scene_id,image_name,circle_x,circle_y,circle_radiuos
A&W1,DSC_0551,1094,1384,116
A&W1,DSC_0554,2173,957,121
A&W1,DSC_0556,2522,1039,119
A&W1,DSC_0559,3113,1295,111
A&W1,DSC_0562,3670,1271,107
A&W1,DSC_0566,4059,1355,105
A&W1,DSC_0573,2854,1703,39
A&W1,DSC_0583,959,1406,114
A&W1,DSC_0584,1135,1315,114
A&W1,DSC_0587,1676,1236,115
A&W1,DSC_0589,1865,1266,115
A&W1,DSC_0590,1540,1305,112
A&W1,DSC_0591,1303,1381,111
A&W1,DSC_0594,1816,1368,107
A&W1,DSC_0595,2251,1418,108
A&W1,DSC_0596,2663,1552,110
A&W1,DSC_0598,3075,1683,110
A&W1,DSC_0599,3220,1705,110
A&W1,DSC_0600,3333,1704,110
A&W1,DSC_0601,3433,1685,110
A&W1,DSC_0602,3685,1519,111
A&W1,DSC_0603,3862,1486,105
A&W1,DSC_0605,3979,1258,109
A&W1,DSC_0606,3580,1272,111
A&W1,DSC_0607,3315,1323,110
A&W1,DSC_0609,2809,1568,109
A&W1,DSC_0610,2601,1695,109
A&W1,DSC_0611,2422,1764,111
A&W1,DSC_0612,2254,1760,115
A&W1,DSC_0614,1341,1830,129
A&W1,DSC_0615,943,1981,132
A&W1,DSC_0623,1107,759,114
A&W1,DSC_0626,1467,798,114
A&W1,DSC_0628,1970,707,111
A&W1,DSC_0629,2095,619,112
A&W1,DSC_0630,2383,542,116
A&W1,DSC_0631,2504,606,117
A&W1,DSC_0632,2612,670,117
A&W1,DSC_0633,2851,769,118
A&W1,DSC_0634,2967,793,117
A&W1,DSC_0635,3162,808,116
A&W1,DSC_0637,3364,767,113
A&W1,DSC_0638,3448,746,112
A&W1,DSC_0639,3680,676,111
A&W1,DSC_0640,3793,650,111
A&W1,DSC_0641,3910,627,111
A&W1,DSC_0647,0,0,0
A&W1,DSC_0648,3472,1601,112
A&W1,DSC_0649,2718,1692,112
A&W1,DSC_0651,1884,1679,120
A&W1,DSC_0652,1595,1992,129
A&W1,DSC_0653,1125,2248,134
A&W1,DSC_0654,253,417,135
A&W1,DSC_0676,3064,2711,116
A&W1,DSC_0677,3138,2697,115
A&W1,DSC_0678,3223,2695,114
A&W1,DSC_0679,3300,2681,114
A&W1,DSC_0680,3485,2595,113
A&W1,DSC_0681,3948,2659,116
A&W1,DSC_0682,3810,2637,116
A&W1,DSC_0683,3318,2518,116
A&W1,DSC_0684,2807,2481,119
A&W1,DSC_0685,2148,2544,124
A&W1,DSC_0688,924,1811,135
A&W2,DSC_0719,2179,1725,102
A&W2,DSC_0720,2150,1654,99
A&W2,DSC_0721,2082,1597,95
A&W2,DSC_0722,2079,1561,94
A&W2,DSC_0723,2210,1466,101
A&W2,DSC_0724,2206,1352,107
A&W2,DSC_0725,2192,1302,108
A&W2,DSC_0726,2459,1489,103
A&W2,DSC_0727,2644,1577,103
A&W2,DSC_0728,2834,1496,101
A&W2,DSC_0729,3015,1461,99
A&W2,DSC_0730,3182,1447,97
A&W2,DSC_0731,3342,1499,96
A&W2,DSC_0732,3468,1543,95
A&W2,DSC_0733,3596,1527,95
A&W2,DSC_0734,3686,1536,94
A&W2,DSC_0735,3714,1558,99
A&W2,DSC_0736,3658,1482,101
A&W2,DSC_0737,3503,1365,104
A&W2,DSC_0738,3285,1254,105
A&W2,DSC_0810,638,316,105
A&W2,DSC_0811,677,328,101
A&W2,DSC_0812,751,340,98
A&W2,DSC_0813,824,356,95
A&W2,DSC_0814,881,372,92
A&W2,DSC_0815,914,359,90
A&W2,DSC_0816,932,331,88
A&W2,DSC_0817,932,326,86
A&W2,DSC_0819,927,361,83
A&W2,DSC_0820,1019,355,81
A&W2,DSC_0821,1097,149,77
A&W3,DSC_0843,252,694,77
A&W3,DSC_0844,626,652,76
A&W3,DSC_0845,813,643,76
A&W3,DSC_0846,991,629,76
A&W3,DSC_0847,1179,616,76
A&W3,DSC_0848,1371,604,77
A&W3,DSC_0849,1562,593,76
A&W3,DSC_0850,1766,591,76
A&W3,DSC_0851,1974,606,76
A&W3,DSC_0852,2191,615,76
A&W3,DSC_0853,2416,637,76
A&W3,DSC_0854,2652,660,75
A&W3,DSC_0855,2854,686,75
