Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0551.NEF,-0.9969659501624631,-0.0031958088700193886,4481.514659271846,0.007115912835382492,-1.0029892415739212,2845.169523448226,2.6303548487311427e-06,6.072210211125249e-08,1.0
A&W1,DSC_0554.NEF,-0.9975293765416584,-0.004522924826479274,4489.045044658319,0.0100503814004691,-1.005020507779209,2857.903145773653,3.4823264876696928e-06,1.8722864996248059e-07,1.0
A&W1,DSC_0556.NEF,-0.9981257858100651,-0.0031284615076500074,4489.510818574962,0.008387334241711753,-1.004353676733221,2858.576805730406,3.4790623071913706e-06,5.679650954714378e-07,1.0
A&W1,DSC_0559.NEF,-0.9980014258473409,-0.003388469705248799,4488.672031328028,0.008173318910958832,-1.0040207785474824,2859.9479174925555,3.2998422275722945e-06,5.120042967898961e-07,1.0
A&W1,DSC_0562.NEF,-0.9991602071647684,-0.002434898475309323,4492.8152565241435,0.009098777279133144,-1.0048900451367546,2866.383462962268,3.7430872219033716e-06,9.650378965606495e-07,1.0
A&W1,DSC_0566.NEF,-0.9976516738745482,-0.003327270159297625,4486.315670096383,0.008095836017099872,-1.0037376073776454,2865.587924112003,3.165436234901921e-06,4.7405005707794644e-07,1.0
A&W1,DSC_0573.NEF,-0.9979276088142464,-0.0036282578543638637,4486.693636768119,0.007876899313089956,-1.0035682352103905,2872.6195214939276,3.1131239689808388e-06,4.537505294826125e-07,1.0
A&W1,DSC_0583.NEF,-0.9966314601016134,-0.003927255172709993,4488.038305060874,0.009258510789995808,-1.0066126812750507,2852.9683948889096,4.083813974350121e-06,-3.524399926751556e-07,1.0
A&W1,DSC_0584.NEF,-0.9973544937635315,-0.0030826006601172335,4485.905334997132,0.007045518783076759,-1.003567930561857,2850.848045919405,3.1828917737470146e-06,2.604051493955437e-07,1.0
A&W1,DSC_0587.NEF,-0.9965561996085688,-0.0035074377975519958,4480.732527905212,0.005686641600943513,-1.0013495156433496,2850.7284806414496,2.5663628485374848e-06,-2.7873912739303737e-08,1.0
A&W1,DSC_0589.NEF,-0.9976725601628958,-0.00274632112385549,4487.223696314342,0.00743832017029966,-1.003840413175435,2851.4636966060825,3.3306607244767343e-06,3.940653210551227e-07,1.0
